Barangay_key,CaseCount
talomo,2021
bucana,1662
buhangin,1643
matina crossing,1271
ma a,1198
sasa,1129
catalunan grande,1080
cabantian,1034
panacan,947
barangay 19 b,903
tibungco,833
calinan,794
matina aplaya,713
catalunan pequeno,674
toril,658
mintal,627
tigatto,601
daliao,584
bago gallera,553
indangan,547
alfonso angliongto sr,539
tacunan,535
bunawan,522
baliok,471
bago aplaya,429
santo nino,426
lizada,426
ilang,404
dumoy,397
lubogan,388
marilog,384
agdao,366
communal,346
mandug,345
pampanga,345
barangay 5 a,332
tugbok,328
matina pangi,321
malagos,271
los amigos,267
rafael castillo,260
crossing bayabas,256
baguio,254
barangay 8 a,246
barangay 31 d,234
barangay 23 c,231
binugao,231
centro,221
sirawan,220
san antonio,219
leon garcia sr,217
bato,217
wilfredo aquino,215
dacudao,213
barangay 9 a,203
gumalang,194
tamugan,194
lapu lapu,189
barangay 21 c,184
talomo river,177
bangkas heights,170
alejandra navarro,169
barangay 37 d,161
barangay 22 c,160
gov paciano bangoy,152
barangay 10 a,151
marapangi,147
kap tomas monteverde sr,143
mulig,136
sirib,133
lacson,132
gov vicente duterte,131
barangay 7 a,131
riverside,129
bago oshiro,123
tawan tawan,122
paquibato,121
wangan,120
malabog,119
tagakpan,118
tamayong,117
barangay 2 a,112
ula,103
barangay 18 b,102
wines,100
barangay 15 b,96
manuel guianga,92
ubalde,91
barangay 27 c,91
tambobong,83
vicente hizon sr,83
cadalian,82
barangay 1 a,82
lamanan,79
barangay 20 b,79
eden,77
waan,76
subasta,75
mahayag,75
barangay 39 d,73
tibuloy,73
barangay 32 d,71
salaysay,70
carmen,69
angalan,68
barangay 24 c,68
baracatan,67
barangay 11 b,65
suawan,64
langub,63
barangay 33 d,63
biao guianga,63
inayangan,62
barangay 26 c,62
magtuod,62
catigan,62
callawa,61
barangay 40 d,60
cawayan,60
bayabas,57
biao escuela,57
barangay 28 c,57
biao joaquin,57
tungakalan,57
barangay 16 b,55
mudiang,54
buda,54
barangay 38 d,52
daliaon plantation,51
talandang,50
alambre,49
barangay 6 a,48
lumiad,48
barangay 4 a,47
matina biao,46
pangyan,45
sibulan,45
acacia,45
manambulan,43
barangay 14 b,43
barangay 12 b,41
malamba,41
gatungan,41
new valencia,40
tagurano,38
paradise embak,38
san isidro,36
barangay 36 d,33
new carmen,33
barangay 34 d,33
barangay 17 b,30
bantol,30
barangay 25 c,28
atan awe,28
datu salumay,28
magsaysay,28
kilate,27
saloy,26
barangay 30 c,26
sumimao,25
mabuhay,24
balengaeng,22
fatima,22
lampianao,22
colosas,22
dominga,22
barangay 29 c,21
pandaitan,21
barangay 3 a,19
baganihan,19
panalum,19
megkawayan,18
gumitan,18
barangay 35 d,17
camansi,15
mapula,14
dalag,14
tagluno,12
dalagdag,11
barangay 13 b,9
salapawan,8
tapak,6
