Barangay_key,train_weeks,nonzero_weeks,total_cases,eligible_local,eligibility_reason,run_id
acacia,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
agdao,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
alambre,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
alejandra navarro,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
alfonso angliongto sr,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
angalan,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
atan awe,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
baganihan,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
bago aplaya,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
bago gallera,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
bago oshiro,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
baguio,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
balengaeng,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
baliok,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
bangkas heights,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
bantol,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
baracatan,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 1 a,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 10 a,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 11 b,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 12 b,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 13 b,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 14 b,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 15 b,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 16 b,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 17 b,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 18 b,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 19 b,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 2 a,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 20 b,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 21 c,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 22 c,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 23 c,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 24 c,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 25 c,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 26 c,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 27 c,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 28 c,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 29 c,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 3 a,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 30 c,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 31 d,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 32 d,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 33 d,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 34 d,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 35 d,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 36 d,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 37 d,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 38 d,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 39 d,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 4 a,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 40 d,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 5 a,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 6 a,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 7 a,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 8 a,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
barangay 9 a,,,,False,local_models_disabled,2cd7614b-e5c7-484d-aa9d-9feb031411e2
